Countries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Saint Lucia,240,185,249,148,168,165,175,,172,160,182,175,170,144,135,141,141,140,133,143,130,136,134,106,108,76,104,110,87,,,97,,71,91,44
Saint Pierre and Miquelon,,,,,15,10,11,,20,9,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,160,173,132,137,118,118,118,100,121,105,113,118,119,133,119,149,114,102,122,102,,,,,91,,,57,73,73,85,73,65,,, 
San Marino,,,,,,,,,,86,,,70,,65,55,49,50,54,67,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,29,48,,,,, 
Saudi Arabia,,,2026,,,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,21322,21091,21269,21007,21139,21032,20573,20417,20217,19741,19362,18859,18548,17917,17873,17376,17183,,,,,,,,,,,,,,,,,,, 
Seychelles,125,118,109,121,108,107,131,117,103,107,107,97,97,94,,,,,,,,,,,,,,69,75,75,,,,,, 
Singapore,5428,5493,5265,5093,4755,4725,4785,4505,4420,4067,4099,3980,4229,4136,4063,3964,3876,3930,3772,3720,3581,3349,3272,3201,3269,3283,2930,3131,2887,2893,2776,2858,2668,2616,2561,2488
Slovakia,13543,13377,12830,,12074,11831,11891,11867,11649,11794,11581,11558,11445,11815,11871,11898,12182,11170,11049,10947,10658,10655,10559,,,,,,,,,,,,, 
Slovenia,,6018,5773,5804,5843,5743,5679,5536,5273,5106,5056,5058,4978,4813,4752,4775,4704,4774,4541,4573,4412,4557,4391,4322,4088,3987,4007,3927,3885,3947,,,,,, 
South Africa,37766,36671,36982,36167,35086,34618,33429,33662,33065,32985,32717,31954,31088,30189,29677,29552,28459,26970,26292,23170,23692,20533,,,,,,,,,,,,,, 
Spain,106269,107136,106887,105432,103307,101517,100675,99994,98301,96739,97140,96466,94507,94363,91846,91145,89665,88268,86699,86904,85250,83044,80459,78656,76823,75005,73690,71275,68069,66329,65810,63053,61261,59478,58245, 
Sri Lanka,,,,,,,,,10297,,,8368,7939,7980,7741,7121,6655,6449,5947,,,,,,,,,,4471,4416,4257,4280,4073,4179,4120, 
Suriname,432,457,357,399,362,346,369,310,334,291,311,301,325,278,252,225,199,145,122,131,,,198,178,209,164,155,161,169,189,209,,208,168,176,159
Sweden,22327,22182,22094,21743,21646,21717,21751,21840,21996,21867,21862,21631,21324,21615,21153,21109,21075,21365,20757,20705,20175,20561,20374,20406,20331,19966,20247,19654,,,,,,,, 
Switzerland,,16675,16490,16460,16277,16056,15953,16020,15661,15420,15429,15429,15217,15401,15509,15057,15111,15156,15105,15323,,,,,,,,,,,,,,,, 
